Rk,Team,G,MP,FG,FGA,FG_percent,3P,3PA,ThreeP_percent,2P,2PA,TwoP_percent,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
1,San Antonio Spurs*,82,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,645,429,1181,1893,7399,2000
2,New York Knicks*,82,19830,2711,6398,0.424,404,1197,0.338,2307,5201,0.444,1609,2153,0.747,927,2441,3368,1609,603,354,1161,1799,7435,2000
3,Portland Trail Blazers*,82,19780,2825,6557,0.431,394,1195,0.33,2431,5362,0.453,1422,1985,0.716,978,2220,3198,1705,652,350,1186,1872,7466,2000
4,Miami Heat*,82,19830,2782,6595,0.422,408,1130,0.361,2374,5465,0.434,1512,2022,0.748,974,2341,3315,1582,621,364,1150,1795,7484,2000
5,Utah Jazz*,82,19755,2781,6240,0.446,388,1097,0.354,2393,5143,0.465,1598,2141,0.746,887,2236,3123,1620,588,411,1270,2023,7548,2000
6,Los Angeles Lakers*,82,19805,2838,6824,0.416,372,1142,0.326,2466,5682,0.434,1518,2045,0.742,1007,2531,3538,1597,627,345,1196,2099,7566,2000
7,Philadelphia 76ers*,82,19830,2867,6595,0.435,417,1172,0.356,2450,5423,0.452,1510,2001,0.755,1065,2501,3566,1828,631,531,1444,1977,7661,2000
8,Phoenix Suns*,82,19805,2825,6665,0.424,403,1146,0.352,2422,5519,0.439,1630,2205,0.739,1071,2465,3536,1700,733,427,1422,1794,7683,2000
9,Chicago Bulls,82,19805,2916,6396,0.456,358,1049,0.341,2558,5347,0.478,1533,2070,0.741,1000,2416,3416,1902,853,461,1244,1966,7723,2000
10,Charlotte Hornets*,82,19780,3048,6811,0.448,410,1086,0.378,2638,5725,0.461,1347,1807,0.745,966,2550,3516,1903,604,421,1297,2076,7853,2000
11,Minnesota Timberwolves*,82,19905,2924,6576,0.445,380,1066,0.356,2544,5510,0.462,1644,2185,0.752,916,2440,3356,1737,591,344,1232,1685,7872,2000
12,Indiana Pacers*,82,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929,2000
13,Toronto Raptors*,82,19755,3002,6615,0.454,346,1021,0.339,2656,5594,0.475,1631,2136,0.764,961,2552,3513,1790,557,434,1250,1874,7981,2000
14,Seattle SuperSonics*,82,19780,3132,6941,0.451,440,1293,0.34,2692,5648,0.477,1343,1795,0.748,1084,2611,3695,1939,590,433,1258,1839,8047,2000
15,New Jersey Nets,82,19830,3125,6741,0.464,368,1013,0.363,2757,5728,0.481,1503,2012,0.747,1129,2657,3786,1866,568,469,1366,1869,8121,2000
16,Orlando Magic,82,19755,3076,6919,0.445,431,1277,0.338,2645,5642,0.469,1567,2104,0.745,1094,2473,3567,1991,724,475,1488,2008,8150,2000
17,Vancouver Grizzlies,82,19855,3136,6613,0.474,361,1083,0.333,2775,5530,0.502,1530,1989,0.769,970,2336,3306,1932,725,519,1234,1912,8163,2000
18,Atlanta Hawks,82,19830,3211,7060,0.455,373,1015,0.367,2838,6045,0.469,1381,1796,0.769,1052,2474,3526,1886,655,404,1001,1830,8176,2000
19,Washington Wizards,82,19805,3005,6547,0.459,390,1052,0.371,2615,5495,0.476,1790,2405,0.744,962,2418,3380,1793,686,503,1225,1967,8190,2000
20,Boston Celtics,82,19730,2960,6304,0.47,359,995,0.361,2601,5309,0.49,1929,2563,0.753,857,2534,3391,1798,638,473,1395,1928,8208,2000
21,Houston Rockets,82,19830,3226,7074,0.456,350,990,0.354,2876,6084,0.473,1425,1829,0.779,1027,2451,3478,1863,735,433,1126,1833,8227,2000
22,Cleveland Cavaliers,82,19855,2983,6736,0.443,420,1229,0.342,2563,5507,0.465,1851,2385,0.776,1013,2586,3599,1942,659,500,1389,2058,8237,2000
23,Milwaukee Bucks*,82,19855,3033,6644,0.457,531,1357,0.391,2502,5287,0.473,1685,2241,0.752,1037,2368,3405,1987,637,340,1303,1870,8282,2000
24,Denver Nuggets,82,19855,3129,6953,0.45,399,1126,0.354,2730,5827,0.469,1632,2174,0.751,1027,2606,3633,2003,616,462,1179,1937,8289,2000
25,Dallas Mavericks,82,19730,3225,7053,0.457,429,1244,0.345,2796,5809,0.481,1484,2005,0.74,1251,2719,3970,1901,604,416,1318,1814,8363,2000
26,Detroit Pistons*,82,19830,3119,6706,0.465,458,1234,0.371,2661,5472,0.486,1669,2237,0.746,973,2504,3477,1893,652,396,1400,2219,8365,2000
27,Sacramento Kings*,82,19805,3269,7239,0.452,396,1123,0.353,2873,6116,0.47,1434,1910,0.751,1143,2761,3904,1950,753,404,1437,1943,8368,2000
28,Los Angeles Clippers,82,19705,3281,6879,0.477,417,1077,0.387,2864,5802,0.494,1512,2041,0.741,1038,2699,3737,1975,621,377,1172,1731,8491,2000
29,Golden State Warriors,82,19755,3165,6776,0.467,427,1163,0.367,2738,5613,0.488,1755,2328,0.754,1091,2691,3782,2036,690,495,1338,1887,8512,2000
NA,League Average,82,19802,3020,6732,0.449,397,1125,0.353,2623,5607,0.468,1555,2073,0.75,1018,2501,3519,1832,651,424,1269,1911,7993,2000
1,New York Knicks*,82,242.7,31.3,75.1,0.417,5.4,15.4,0.352,25.9,59.7,0.434,18,24.6,0.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1,2001
2,Miami Heat*,82,242.4,32.9,76.4,0.431,4.4,13.3,0.331,28.5,63.1,0.452,16.3,22.2,0.737,11.1,30.8,42,17.3,7.3,5.2,15.5,22.2,86.6,2001
3,San Antonio Spurs*,82,241.8,34.6,82.6,0.419,4.2,12.7,0.329,30.4,69.8,0.435,15,20.3,0.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4,2001
4,Charlotte Hornets*,82,242.4,33.7,79.3,0.426,4.7,13.2,0.36,29,66.1,0.439,17.6,23.3,0.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8,2001
5,Philadelphia 76ers*,82,242.1,35,81.7,0.429,5.2,15.2,0.342,29.8,66.5,0.448,15.2,20.2,0.749,12,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4,2001
6,Portland Trail Blazers*,82,241.2,34.4,78.5,0.438,5,13.5,0.368,29.4,65,0.452,17.5,23.5,0.744,11.5,27.3,38.8,21.3,7.9,4,14.8,21.2,91.2,2001
7,Phoenix Suns*,82,241.5,34,78.3,0.435,4,11.4,0.349,30.1,66.9,0.449,19.7,25.9,0.761,11,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8,2001
8,Utah Jazz*,82,241.2,32.5,74.1,0.439,5,14.6,0.343,27.5,59.5,0.462,22.3,29.2,0.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4,2001
9,Indiana Pacers*,82,243.7,34.5,81.5,0.423,4.6,13.7,0.336,29.9,67.8,0.441,19.2,25.3,0.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23,92.8,2001
10,Houston Rockets,82,241.8,36.8,82.1,0.449,4.4,12.4,0.354,32.5,69.7,0.465,16.9,22.7,0.744,12,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9,2001
11,Los Angeles Clippers,82,244.3,36.5,82.9,0.44,4.3,13.1,0.329,32.2,69.8,0.461,18,24.2,0.743,12.7,29.7,42.5,21.8,7.8,5,12.7,21.9,95.3,2001
12,Toronto Raptors*,82,243.4,36.7,82,0.447,4.6,12.7,0.363,32.1,69.3,0.463,17.4,23,0.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4,2001
13,Sacramento Kings*,82,244.9,37.6,87.1,0.432,4.9,13.8,0.355,32.8,73.3,0.447,15.7,21,0.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9,2001
14,Minnesota Timberwolves*,82,241.8,36.3,80.3,0.452,4.3,12.1,0.351,32,68.2,0.47,19.1,26.4,0.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96,2001
15,Atlanta Hawks,82,240.6,35.6,80.6,0.442,4.8,13.2,0.367,30.8,67.4,0.457,20.1,26.3,0.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2,2001
16,Dallas Mavericks*,82,241.5,35.8,81.6,0.439,4.6,13.9,0.334,31.2,67.7,0.46,19.9,27.2,0.731,13,32,45,21.7,7.6,4.6,15.5,22.5,96.2,2001
17,Cleveland Cavaliers,82,241.8,35.7,80.3,0.445,5.1,14.1,0.365,30.5,66.2,0.462,19.9,25.9,0.768,12.1,29.3,41.3,22.9,8.5,6.6,15,22.1,96.5,2001
18,Orlando Magic*,82,243.4,34.5,79.3,0.435,4.5,12.9,0.346,30,66.3,0.453,23,31.3,0.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5,2001
19,Chicago Bulls,82,242.1,36.4,77.2,0.472,4.2,11.9,0.356,32.2,65.3,0.493,19.6,26.9,0.73,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7,2001
20,Boston Celtics,82,241.8,35.8,78,0.459,5.2,14.3,0.368,30.5,63.7,0.48,19.9,26.6,0.75,10.8,32.3,43.1,23,7.9,5.4,17.1,23.2,96.8,2001
21,Milwaukee Bucks*,82,241.2,35.5,80.8,0.439,5.4,15.2,0.352,30.2,65.6,0.46,20.5,26.7,0.768,12.4,30.4,42.7,23,7.2,4.3,15.5,21.7,96.9,2001
22,New Jersey Nets,82,240.6,35.8,78.7,0.455,5.2,14.5,0.36,30.6,64.2,0.477,20.3,27.2,0.746,12.2,32,44.2,22.4,7.5,6.4,15.9,22,97.1,2001
23,Los Angeles Lakers*,82,242.7,36.4,83.1,0.438,5,14.2,0.354,31.3,68.9,0.455,19.5,25.8,0.754,12,29.4,41.3,20.2,7.5,4,13.1,24.4,97.2,2001
24,Seattle SuperSonics,82,241.5,37.5,82.7,0.453,5.7,16.5,0.349,31.8,66.2,0.48,16.5,22.2,0.742,12.8,29.6,42.4,23.9,7.9,6.2,15,22.1,97.3,2001
25,Detroit Pistons,82,242.1,36.3,83.5,0.434,5.2,15,0.348,31.1,68.5,0.453,19.5,26.5,0.736,12.3,32.6,44.9,22.7,8.2,4.8,15.5,25.1,97.3,2001
26,Vancouver Grizzlies,82,241.2,38.3,82.8,0.463,4.7,13.1,0.362,33.6,69.7,0.482,16.1,21.9,0.732,12.8,30.9,43.7,23.6,8.7,5.8,14.8,21.6,97.5,2001
27,Denver Nuggets,82,241.2,37.6,84.3,0.446,5.1,14.2,0.356,32.5,70.1,0.464,18.8,25,0.753,12.3,32.2,44.6,24.9,7.2,6.1,13.1,21.4,99,2001
28,Washington Wizards,82,240,37.8,80.4,0.47,5.3,13.3,0.396,32.5,67.1,0.485,19,25.5,0.747,11.4,29.4,40.7,23.2,8.4,6.2,15,24.1,99.9,2001
29,Golden State Warriors,82,241.2,38.8,82.2,0.472,5.4,14.1,0.379,33.4,68.1,0.491,18.6,24.5,0.76,12.7,32.8,45.5,24.9,8.8,6,16.4,21.5,101.5,2001
1,Miami Heat,82,243,32.5,76.6,0.425,4.6,13.5,0.342,27.9,63,0.442,19.1,25.9,0.736,10.9,30.3,41.2,17.8,7.6,4.3,13.8,20.8,88.7,2002
2,Philadelphia 76ers*,82,240.6,33.8,79.3,0.426,5.3,16.1,0.331,28.5,63.1,0.451,16.5,21.9,0.751,12,28.6,40.6,21.6,8,5.6,14.7,22.3,89.4,2002
3,San Antonio Spurs*,82,242.1,35.2,82.6,0.426,4.6,13.5,0.338,30.6,69.1,0.443,15.6,20.1,0.777,12.2,29.6,41.9,18.8,7.7,5.2,14.5,23.1,90.5,2002
4,Toronto Raptors*,82,240.9,34.4,77.9,0.441,4.6,13.3,0.346,29.8,64.6,0.461,18.5,24.5,0.752,12.1,29.7,41.8,19.9,7.7,4.8,15.2,19.7,91.8,2002
5,New Jersey Nets*,82,241.8,34.9,81.3,0.429,5,14.3,0.348,29.9,67,0.446,17.4,23,0.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92,2002
6,Detroit Pistons*,82,240,35.7,79.8,0.447,4.4,12.1,0.362,31.3,67.7,0.462,16.5,21.8,0.755,12.1,30.6,42.7,20,7.9,4.1,15.5,22.9,92.2,2002
7,Charlotte Hornets*,82,240.9,34.8,80.4,0.432,5.3,14.1,0.375,29.5,66.3,0.444,18.1,23.6,0.768,11.7,29.3,41,20,7.6,5.1,13.9,20.8,92.9,2002
8,Portland Trail Blazers*,82,241.8,36,79.4,0.453,5.7,15.7,0.363,30.3,63.7,0.476,16,21.6,0.741,10.9,28.4,39.2,23.7,7.5,5,14.7,20.1,93.7,2002
9,Boston Celtics*,82,241.8,34.1,80.2,0.425,6.3,18.4,0.34,27.8,61.8,0.45,19.7,25.5,0.771,11.6,34.2,45.9,22,7.6,5.8,16.3,21.1,94.1,2002
10,Los Angeles Lakers*,82,241.2,35,82.6,0.424,4.9,15.4,0.317,30.2,67.3,0.448,19.2,25.3,0.761,12.4,30.8,43.2,20,7.2,4.3,14,23,94.1,2002
11,Washington Wizards,82,240.6,36,79.7,0.452,5.1,14.5,0.354,30.9,65.2,0.474,17,22.5,0.755,11.7,29,40.7,22.2,7,5,13.4,20.9,94.2,2002
12,Seattle SuperSonics*,82,241.8,36.2,80.5,0.449,5.8,16.8,0.344,30.4,63.8,0.477,16.6,22.5,0.739,13.3,28.4,41.7,22.3,6.9,4.9,15.3,19.8,94.7,2002
13,Utah Jazz*,82,241.8,33.9,75.8,0.447,5.7,14.8,0.383,28.2,61,0.462,21.7,28.1,0.771,11.3,26.9,38.2,19.3,9.1,6.7,16.7,25.2,95.1,2002
14,New York Knicks,82,241.5,35.7,80.1,0.445,5.4,15.3,0.353,30.3,64.8,0.467,18.9,25,0.757,11.7,31,42.7,21.5,8.4,4.7,13.5,20.4,95.6,2002
15,Phoenix Suns,82,241.8,36.1,81.3,0.444,5.3,14.7,0.358,30.8,66.5,0.463,18.4,24.5,0.751,12.6,30.4,43,22.2,8.4,5.8,15.4,18.5,95.8,2002
16,Minnesota Timberwolves*,82,241.5,36.1,81.1,0.445,6,16.1,0.372,30.1,65,0.463,17.7,23.9,0.742,11.1,28.4,39.5,22.6,6.6,5,13.4,20.4,96,2002
17,Los Angeles Clippers,82,241.5,37.5,83.7,0.448,5,14,0.355,32.5,69.8,0.466,16.2,21.7,0.745,13,29,42,22.7,7.5,5.4,12.9,21.6,96.1,2002
18,Indiana Pacers*,82,242.7,36.3,82.9,0.438,5.1,14.6,0.348,31.2,68.3,0.457,18.8,25.1,0.749,12.8,30.7,43.4,21.6,7.5,5.7,14.3,22.6,96.5,2002
19,Sacramento Kings*,82,240.9,38.1,86.7,0.44,4.7,14,0.337,33.4,72.7,0.46,16,21.5,0.744,13,31.9,44.9,22.4,7.7,4.7,15.2,22.3,97,2002
20,Houston Rockets,82,243.7,38.9,83.8,0.464,4.5,12.5,0.36,34.4,71.3,0.482,14.9,19.8,0.752,12.7,30.6,43.3,22.4,7,5.1,12,20.1,97.2,2002
21,Memphis Grizzlies,82,241.2,38,83.3,0.457,4.9,13.6,0.358,33.2,69.7,0.476,16.4,21.8,0.753,13.8,31.2,45.1,23.9,9.5,5.6,14.7,21.8,97.3,2002
22,Milwaukee Bucks,82,242.7,36.8,83.5,0.441,6,16.8,0.358,30.8,66.7,0.461,18.2,24,0.757,12.8,29.7,42.5,23,7.3,4.4,12.9,20,97.7,2002
23,Denver Nuggets,82,241.5,36.6,79.8,0.459,5.2,14.3,0.361,31.5,65.5,0.481,19.5,26.1,0.747,12.1,30.8,43,24,8.2,6.8,14.3,20.1,98,2002
24,Chicago Bulls,82,241.5,36.9,79.4,0.465,5.1,14.4,0.358,31.8,65.1,0.488,19,25.5,0.746,11.5,31.1,42.6,25.2,8.3,4.9,14.4,21,98,2002
25,Atlanta Hawks,82,241.2,37.4,81.4,0.459,5.8,16.2,0.355,31.6,65.2,0.485,17.8,23.9,0.744,12.2,30.8,43,22.6,8.6,6.2,15.1,20.1,98.3,2002
26,Cleveland Cavaliers,82,242.1,37.2,81.4,0.457,5.8,14.6,0.394,31.5,66.8,0.471,18.4,24.6,0.748,11.3,29,40.4,24.3,7.3,5.6,13,20,98.6,2002
27,Orlando Magic*,82,241.8,38,83.3,0.456,5,14.2,0.352,33,69.1,0.478,17.9,24.3,0.737,13.2,32.1,45.4,23.5,8,4.7,15.8,21.2,98.9,2002
28,Dallas Mavericks*,82,242.4,37.7,83.5,0.452,5.5,15.8,0.35,32.2,67.8,0.475,20,26.6,0.751,13,31.7,44.7,22.7,7.2,4.6,14.1,21.8,101,2002
29,Golden State Warriors,82,241.2,39.2,85.3,0.459,4.9,14.2,0.348,34.3,71.1,0.482,19.8,25.9,0.763,13.4,29.9,43.3,24.4,8.6,6.2,14.3,23.8,103.1,2002
1,Detroit Pistons*,82,242.7,33.5,76.5,0.438,3.5,10.2,0.344,29.9,66.2,0.452,17.2,23.1,0.746,10.5,30.8,41.3,18.3,6.9,4.3,14,23.2,87.7,2003
2,New Jersey Nets*,82,240.9,33.6,78.8,0.427,5.2,14.5,0.359,28.4,64.3,0.442,17.7,23.7,0.749,11.4,30,41.4,19.6,8.5,5.2,16.6,22.9,90.1,2003
3,San Antonio Spurs*,82,241.8,34.9,81.7,0.427,4.3,12.7,0.339,30.6,69,0.443,16.3,21.2,0.768,12.5,28.3,40.9,19,8.1,5.1,15,23.4,90.4,2003
4,Miami Heat,82,241.8,33.1,75.7,0.437,5,14,0.353,28.1,61.7,0.456,19.5,26,0.751,10.6,31.5,42.2,18.1,7.6,5.3,14.3,20.4,90.6,2003
5,New Orleans Hornets*,82,242.7,34.8,79.5,0.438,4.1,12.2,0.338,30.7,67.3,0.457,18,23.5,0.766,11.1,28.9,40,19.9,7.9,5.2,14.6,21.4,91.8,2003
6,Utah Jazz*,82,241.2,33.5,77.4,0.434,5.3,15.3,0.349,28.2,62.1,0.454,19.8,26.1,0.759,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3,2003
7,Seattle SuperSonics,82,242.1,35,78.3,0.447,5.8,16.7,0.344,29.3,61.6,0.475,16.5,22.2,0.742,11.4,30,41.5,20.8,6.1,5,14.7,20.4,92.3,2003
8,Houston Rockets,82,243,35.3,81.5,0.433,4.7,13.6,0.347,30.5,67.9,0.45,17.1,22,0.775,11.9,28.7,40.6,20.5,8.1,4.6,13.2,21.9,92.3,2003
9,Denver Nuggets,82,240.6,32.9,74.2,0.443,5.1,13.8,0.37,27.8,60.4,0.46,21.6,28.5,0.757,10.5,29.8,40.3,21.5,9,6.6,17.1,21.8,92.4,2003
10,Washington Wizards,82,241.8,35.1,79.4,0.442,5.5,15.1,0.362,29.6,64.2,0.461,16.9,21.9,0.771,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22,92.5,2003
11,Portland Trail Blazers*,82,242.1,35.9,79.8,0.45,5.3,15.7,0.341,30.5,64.1,0.476,15.5,20.2,0.764,11.1,28,39.1,22.7,8.3,4.8,15.5,20.4,92.5,2003
12,Boston Celtics*,82,241.8,34.2,78.7,0.435,5.6,17.1,0.331,28.5,61.6,0.464,19,25.4,0.749,11.4,33.5,45,22.2,7.5,4.5,16,21.9,93.1,2003
13,Indiana Pacers*,82,242.7,34.9,81.6,0.428,5,14.6,0.34,29.9,67,0.447,18.6,24.3,0.767,12.3,30,42.2,20.7,7.6,6.3,15.3,23.5,93.3,2003
14,Phoenix Suns*,82,241.5,35.5,81.2,0.438,5.3,16.6,0.32,30.2,64.6,0.468,18,23.6,0.766,12.6,30.3,42.9,22.2,7.8,5.5,16,21.5,94.4,2003
15,Philadelphia 76ers*,82,242.1,35.1,77.6,0.452,5.5,15.6,0.354,29.5,62,0.476,18.9,24.8,0.76,11.1,29.3,40.3,22.1,7.8,6.4,17.1,23,94.5,2003
16,Dallas Mavericks*,82,241.2,35.7,81.5,0.438,5.8,17.1,0.34,29.9,64.5,0.463,18,24.8,0.727,12.7,32.7,45.5,21.7,6.7,3.9,16,21.3,95.2,2003
17,Sacramento Kings*,82,241.8,36.5,86.9,0.42,4.5,14.2,0.32,31.9,72.7,0.439,17.7,23.9,0.741,14,31.9,45.8,21.5,8.3,4.3,15.4,19.9,95.2,2003
18,Minnesota Timberwolves*,82,241.5,36.6,83.8,0.437,5.8,16.6,0.347,30.9,67.2,0.46,17,22.6,0.752,11.9,29.8,41.7,22.8,7,4.9,13.6,20.6,96,2003
19,Toronto Raptors,82,241.5,37,80.4,0.461,4.5,12,0.375,32.5,68.4,0.476,18.2,24,0.759,11.9,31.7,43.6,21.1,7.4,5,13.7,20.8,96.8,2003
20,New York Knicks,82,242.1,36.1,79,0.457,4.4,12.8,0.34,31.7,66.2,0.48,20.6,26.7,0.771,11.4,31.9,43.3,21.1,7.6,3.8,14.4,19.9,97.2,2003
21,Atlanta Hawks,82,242.7,36.8,84.2,0.437,5.4,15.2,0.359,31.3,69.1,0.454,18.7,24.5,0.76,13.1,29.5,42.6,21.6,9,5,13,20.3,97.6,2003
22,Los Angeles Clippers,82,240.9,37,82.8,0.447,5.5,15.2,0.365,31.5,67.6,0.466,18.4,23.7,0.774,12.8,30,42.8,22.4,8,5.1,14,22.5,97.9,2003
23,Los Angeles Lakers*,82,243,36.3,82,0.443,5.7,14.9,0.38,30.6,67.1,0.456,19.8,26,0.76,11.7,30.4,42.1,21.4,7.9,3.8,14.5,23.4,98,2003
24,Orlando Magic*,82,241.5,36.7,80.5,0.455,4.9,14.8,0.334,31.7,65.7,0.483,20.1,26.2,0.767,11.8,31.7,43.5,22.4,7.8,5,16.4,22.2,98.4,2003
25,Milwaukee Bucks*,82,242.7,37.1,81,0.458,5.8,15.6,0.375,31.3,65.4,0.478,19.2,25.8,0.745,12.5,31,43.4,23.1,6.6,4.1,14.4,20.5,99.3,2003
